Response ID	token	Date submitted	Last page	Start language	Date started	Date last action	IP address	Referrer URL	 SR Number 	Type of Calamity	Province:	City or Municipality:	Region:	Date:	Name of Casualty	Age and Gender of Casualty	Dead	 Missing	 or Injured
id	token	submitdate	lastpage	startlanguage	startdate	datestamp	ipaddr	refurl	848371X100X6775	848371X100X6776	848371X100X6777	848371X100X6778	848371X100X6779	848371X100X6780	848371X100X6781	848371X100X6782	848371X100X6783		
1	{question_not_shown}	{question_not_shown}	{question_not_shown}	en	2014-01-03 08:38:58	2014-01-03 08:38:58	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}	{question_not_shown}		
2	{question_not_shown}	2014-01-03 08:41:05	1	en	2014-01-03 08:40:19	2014-01-03 08:41:05	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	41	1	Metro Manila	Caloocan City	NCR	2014-01-01 00:00:00	Helen Mary Labao	28/F	1		
3	{question_not_shown}	2014-01-03 08:44:00	1	en	2014-01-03 08:42:58	2014-01-03 08:44:00	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	50	1	Leyte	Palo	8	2014-01-02 00:00:00	Fae Cheska Esperas		2		
4	{question_not_shown}	2014-01-03 08:45:31	1	en	2014-01-03 08:44:36	2014-01-03 08:45:31	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	50	1	TawiTawi	Sibutu	ARMM	2014-01-02 00:00:00	Penelope Pitstop	40/M	1		
5	{question_not_shown}	2014-01-03 08:46:18	1	en	2014-01-03 08:45:50	2014-01-03 08:46:18	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	60	1	Apayao	Santa Marcela	CAR	2014-01-02 00:00:00	Doctor Who	900/M	1		
6	{question_not_shown}	2014-01-03 08:47:23	1	en	2014-01-03 08:46:31	2014-01-03 08:47:23	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	50	1	City of Manila	Tondo	NCR	2014-01-01 00:00:00	Miss Mendiola		1		
7	{question_not_shown}	2014-01-03 08:48:25	1	en	2014-01-03 08:47:52	2014-01-03 08:48:25	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	55	2	Pangasinan	Villasis	1	2014-01-01 00:00:00	Hannah Villasis		3		
8	{question_not_shown}	2014-01-03 08:49:27	1	en	2014-01-03 08:48:38	2014-01-03 08:49:27	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	62	2	Misamis Oriental	Villanueva	10	2014-01-01 00:00:00	Dalek DelaCruz		3		
9	{question_not_shown}	2014-01-03 08:50:19	1	en	2014-01-03 08:49:41	2014-01-03 08:50:19	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	100	1	Misamis Oriental	Talisayan	10	2014-01-02 00:00:00	Ninoy Aquino		3		
10	{question_not_shown}	2014-01-03 08:51:29	1	en	2014-01-03 08:50:27	2014-01-03 08:51:29	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	101	1	Compostela Valley	Pantukan	11	2014-01-02 00:00:00	Vic Sotto		2		
11	{question_not_shown}	2014-01-03 08:52:16	1	en	2014-01-03 08:51:41	2014-01-03 08:52:16	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	102	1	Rizal	Binangonan	4A	2014-12-26 00:00:00	Poks Pikon		1		
12	{question_not_shown}	2014-01-03 08:54:47	1	en	2014-01-03 08:54:05	2014-01-03 08:54:47	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	102	1	Masbate	Cataingan	5	2014-01-02 00:00:00	Kristine Hermosa		2		
13	{question_not_shown}	2014-01-03 08:55:46	1	en	2014-01-03 08:55:07	2014-01-03 08:55:46	114.108.232.208	http://limesurvey-diliman.rhcloud.com/limesurvey/index.php/848371/lang-en	106	1	Siquijor	Siquijor	7	2014-01-02 00:00:00	Manananggal Tiyanak	15/M	1		
